SMILES,CP
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1739.49
*CC(*)C(=O)OCC=C,1515.02
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,1537.71
*CC(*)C(=O)OCC(F)(F)F,1454.99
*CC(*)C(=O)OCC(F)(F)C(F)(F)F,1450.37
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,1436.25
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,1426.54
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,1312.81
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,1212.78
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,1458.3
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1447.56
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1445.68
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1444.33
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1442.52
*CC(*)C(=O)OCCOC,1586.29
*CC(*)C(=O)OCCOCC,1607.8
*CC(*)C(=O)OCCCOC,1607.8
*CC(*)C(=O)OCCCOCC,1625.49
*CC(*)C(=O)OCCOCC(F)(F)F,1518.51
*CC(*)C(=O)OCCOC(F)(F)C(F)F,1498.33
*CC(*)C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F,1490.87
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,1458
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,1454.58
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,1452.08
*CC(*)C(=O)OCCCCCOC(F)(C(F)(F)F)C(F)(F)F,1518.08
*CC(*)C(=O)OCCCCCCCCCCCOC(F)(C(F)(F)F)C(F)(F)F,1577.41
*CC(*)C(=O)OCCN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1416.04
*CC(*)(C)C(=O)O,1360.12
*CC(*)(C)C(=O)OC,1558.22
*CC(*)(C)C(=O)OCC,1588.84
*CC(*)(C)C(=O)OCCC,1612.75
*CC(*)(C)C(=O)OC(C)C,1615.41
*CC(*)(C)C(=O)OCCCC,1631.95
*CC(*)(C)C(=O)OC(C)CC,1634.34
*CC(*)(C)C(=O)OCC(C)C,1634.34
*CC(*)(C)C(=O)OC(C)(C)C,1640.6
*CC(*)(C)C(=O)OCCCCCC,1660.85
*CC(*)(C)C(=O)OCCCCCCCC,1681.58
*CC(*)(C)C(=O)OCCCCCCCCCCCC,1709.32
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,1719.05
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,1727.03
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,1733.69
*CC(*)(C)C(=O)OC1CCCCC1,1561.63
*CC(*)(C)C(=O)OC1CCCCC1C,1582.41
*CC(*)(C)C(=O)OC1CCC(C)CC1,1582.41
*CC(*)(C)C(=O)OC1CCCC(C)C1,1582.41
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,1618.26
